,name,rating,total_rating_given,price_level,address
0,Shakib's 75 Restaurant,4.3,342,not specified,"Ruapyan ZR Plaza, Level 9, Satmasjid Road, Road 9/A, House 46 Dhaka"
1,Family Kitchen,5.0,11,not specified,"29/1 Monowara Cotage, E Nayatola Rd"
2,Izumi Japanese Kitchen,4.5,"1,430",$$$$,"House no: 88, 24C Rd No 113/A"
3,A La Greek - Mediterranean Cuisine,4.3,186,not specified,"Rangs Fortune Square, Level 6A Plot 32, Road, 02 Road No. 2"
4,HEXA Dine - Restaurant & Café,4.4,340,not specified,"House: 34 (1st Floor), Green Regency, Road No: 10, Block- D"
5,BAO,4.2,902,$$,"House 1/A 1st floor, Unit-2, রোড নং # ২৩"
6,Bistro-E,4.5,"1,290",$$$,"Bay's Edgewater 1st Floor NE (N, 12 Gulshan North Ave"
7,Thai Chi Restaurant & Cafe,4.1,"3,893",$$,"Bijay Sarani Rangs Bhaban, Level 7, 117/A, Puraton Biman Bondor Sarak,Dhaka 1216"
8,Seasonal Tastes,4.5,299,$$$$,"The Westin, Main Gulshan Ave"
9,Cilantro,4.1,"1,521",$$,49 Satmasjid Road
10,Jatra Biroti Restaurant,4.2,"2,281",$$$,60 Kemal Ataturk Ave
11,Saltz Fine Seafood,4.1,418,$$$,"House 23, Rd 99"
12,Bella Italia,4.3,"1,532",$$,"Rangs FC Enclave , 2nd floor, Road 32 Plot 6/A, Gulshan Ave"
13,Lucknow Dhaka,4.2,"1,437",$$$,"E, 60 Kemal Ataturk Avenue"
14,Paturi,4.2,680,$$,"House No, 03 Rd No 10B"
15,Star Kebab & Restaurant,4.2,"17,022",$$,"House-15 Rd no. 17, Block- C"
16,Tarka,4.0,"1,791",$$,"Level 8, House 1/H (ANZ Huq Eleven Square, রোড ১১"
17,Aharika Restaurant,4.0,731,$$,223 Bir Uttam Mir Shawkat Sarak
18,The Artichoke,4.4,228,not specified,"Arma Majeda Malik Tower , Holding No# 215, Bir Uttam Rafiqul Islam Ave"
19,Soi 71,4.2,985,$$,"Level 1 Concord Baksh Tower, 11/A Kemal Ataturk Ave"
