,name,rating,total_rating_given,price_level,address
0,বনানী হোটেল & রেস্টুরেন্ট,4.2,14,not specified,315 CDA Ave
1,Ambrosia Restaurant Ltd,4.2,"2,068",$$,"1053, Ground Floor & 1st Floor, Jiban Bima Bhaban, Sheikh Mujib Rd"
2,THE KABABIAN Multi-Cuisine RESTAURANT,4.1,198,not specified,"House # 7 ( opposite Abahoni Club), Road # 1 (AC Mosjid Road),, Block # G Halishahar H/Estate Chittagong"
3,Khandani Restaurant,3.6,584,$$,"12/A, 3rd Floor, Shahamanat Complex Near Qrex Diagnostic Center, PC Road"
4,Handi Restaurant,4.0,"5,018",$$,"M M Ali Road, Punak Bhaban, CDA Ave"
5,bonjour Buffet Lunch & Dinner Everyday,4.5,64,not specified,"Golden Plaza, 1692 CDA Ave"
6,Curry Pot,4.2,256,$$,"RF Police Plaza, Lift -5"
7,Gharana Restaurant,4.1,658,$$,"a, C, 93 Agrabad Access Rd"
8,Faha's Kitchen,4.3,283,$$,"Aziz Court(1st Floor),88-90, Agrabad C/A Chittagong Chittagong"
9,ZOUK,4.0,484,not specified,"Dampara 253, Muntasir Centre, Opposite of Wasa Office"
10,Bonanza,4.0,396,$$,"2nd & 3rd Floor 1692, Golden Plaza CD Avenue, Circle"
11,Swapnil Restaurant,4.0,185,$$,"46, Buddhist Temple Road"
12,Afghan Restaurant,3.9,"1,021",$$$,"62, Badsha Mia Bhaban, Beside Badsha Mia Petrol Pump, 2no. Gate"
13,Errante,4.0,"1,325",$$,"94, 8th Floor & Rooftop, Eves Center, Nasirabad Housing Society, Road No 3, Nasirabad"
14,Rannabari Restaurant,3.0,2,not specified,"Shop No-459, 4th Floor, RF Police Plaza, Nandan Kanon"
15,OR,1.0,1,not specified,8RWM+867
16,Taazaj,4.4,16,not specified,Mohammed Ali Rd
17,Cafe Ruchita,4.1,14,not specified,1008 Sheikh Mujib Rd
18,Chin Lung Chinese Restaurant,3.9,107,not specified,48 Huseyn Shaheed Suhrawardy Rd
19,Newaz Hotel Restaurant And Birani House,3.9,407,$,Ice Factory Rd
20,Tava Restaurant & Lounge,4.1,864,$$$,4 Zakir Hossain Rd
21,Handi Restaurant,4.0,"5,018",$$,"M M Ali Road, Punak Bhaban, CDA Ave"
22,Bonfire Restaurant,3.7,337,$$,"Nochima Bhaban, k-block Port Connecting Road, Halishahar Housing Estate"
23,Sherebangla Restora,3.9,48,$$,"K N Tower, Sheikh Mujib Rd"
24,bonjour Buffet Lunch & Dinner Everyday,4.5,64,$$,"Golden Plaza, 1692 CDA Ave"
25,Lemongrass Restaurant,4.0,"1,278",$$,"Agrabad C/A S.Alam Center, 58 Sabdar Ali Rd"
26,The Pavilion,4.1,807,not specified,"787 Avenue Center, CDA Ave"
27,Curry Pot,4.2,256,$$,"RF Police Plaza, Lift -5"
28,Pc Park,0,0,not specified,bangladesh
29,Bonjour,4.2,963,$$$,"1692 Golden Plaza (2nd & 3rd Floor GEC Circle, CDA Ave"
30,Holy Fame Restaurant,3.8,501,$$,"1st &2nd Floor, Plot- 11, N.R.J. Complex, Block- G Firozshah H/E, Koibolya Dham Rastar Matha, Dhaka - Chittagong Hwy"
31,7dayz,4.1,"4,572",$,"1st Floor, Sholosohor Super Market 2 No. Gate, NearJamuna Super Market, Bayazid Bostami Rd"
32,Impala Chinese and South Indian Restaurant,4.0,972,$$,136 O.R. Nizam Rd
33,Swapnil Restaurant,4.0,185,$$,"46, Buddhist Temple Road"
34,Ajwa,3.0,2,$$,Rd No. 2
35,SugarBun Restaurant,4.0,399,$$,944 O.R. Nizam Rd
36,Afghan Restaurant,3.9,"1,021",$$$,"62, Badsha Mia Bhaban, Beside Badsha Mia Petrol Pump, 2no. Gate"
37,Errante,4.0,"1,325",$$,"94, 8th Floor & Rooftop, Eves Center, Nasirabad Housing Society, Road No 3, Nasirabad"
38,Alishaan Restaurant,3.6,490,$$,"6th Floor, K-Block, 3, PC Road, Halishahar"
39,Rannabari Restaurant,3.0,2,not specified,"Shop No-459, 4th Floor, RF Police Plaza, Nandan Kanon"
40,"Bangladesh Navy School and College, Chittagong",0,0,not specified,BD Bangladesh
41,OR,1.0,1,not specified,8RWM+867
42,Taazaj,4.4,16,not specified,Mohammed Ali Rd
43,Dawat Biryani House,0,0,not specified,"68, Mouchak Plaza"
44,The Village Restaurant,4.1,946,$$,"Finlay House, Ground Floor, Ooposite CGO Building 11, Agrabad C/A"
45,Alif Restaurant And Biriani House,4.0,413,$$,"Alonkar, Alonkar Shopping Complex, Port Connecting Rd"
46,Sadia's Kitchen CHK,3.8,"2,114",$$,167 College Rd
47,Al Amin Hotel & Restaurant,4.0,2,not specified,Dhaka Trunk Rd
48,Cafe Ruchita,4.1,14,not specified,1008 Sheikh Mujib Rd
49,Fahad's Kitchen,4.5,4,not specified,"Razzak Mansion, HN.42, Noyabazar Rd No.1"
50,"HashTag - Restaurant, Music Cafe & Lounge",3.9,697,$$,"Plot No.: 07, CDA Masjid Complex, Mehedibag"
51,Newaz Hotel Restaurant And Birani House,3.9,407,$,Ice Factory Rd
52,Coastal Mermaid Restaurant & Lounge,3.8,353,$$,Port Link Rd
53,Talib,0,0,$$,Not Provided
54,Quarter town Restaurant,3.8,313,$$,Port Connecting Rd
55,Patil Restaurant,3.7,414,$$,"A-1, 3rd Floor, Ameen Center, Ispahani Mor, Lalkhan Bazar Cir"
56,Bangaliana Restora & Yummy Foods - বাঙালীয়ানা রেস্তোরা এন্ড ইয়াম্মি ফুডস,3.9,287,not specified,74 Station Road
57,রেডিসন,0,0,not specified,8QHQ+6VQ
58,Rajmahal Restora,3.8,18,not specified,"Halishahar Road, Block-A, Foillotoli"
59,Sliced Bd,4.7,15,not specified,442/A Hwy Society Rd
60,The Sky Lounge & Restaurant,4.0,"1,220",$$,"23/A, Atlanta Trade Center, O.R. Nizam Rd"
61,NAWAB'S DINE,4.0,258,$$,"RF Classic Point, Panchlaish Rd"
62,Sandip vhat Ghar,3.7,27,$$,"Artilari Road, Halishahor"
63,Pubali Restaurant & Birani House,0,0,$,"285, Puran Girja, West of Laldighi"
64,Royal Hotel And Restaurant,3.6,347,$$,"Agrabad Access Road, Agrabad, Barapole"
65,Dream Brakers Factory,4.1,10,$$,Road Number 2
66,Royal Hut,4.2,"2,027",$$,"15, O.R Nizam Road, Panchlaish, Opp. Shishu Park M.A Aziz Stadium Market"
67,Bangla Garden,0,0,$$,Dhaka - Chittagong Hwy
68,Cafe Spice,4.1,25,not specified,Golondaz Rd
69,Mohora Restaurent,3.9,17,not specified,"Road # 01, Plot # 02, O.R. Nizam Road, GEC, 4000 , Bangladesh, Plot # 2, Road No. 1"
70,Azuki Express,4.4,28,not specified,"41, M.M Ali Road, CDA Ave"
71,Tayef Garden Rasoi,3.7,328,not specified,"Naya Bazar Circle, P.C Road"
72,Arsalan restaurant,3.8,41,not specified,Station Rd
73,Chomok restaurant,3.9,132,not specified,Highway Plaza 1st Floor
74,Chittagong Satkania,0,0,$$,Not Provided
75,Nejam Store & Hotel,4.3,8,$,"Dhaka Trunk Road, Bar Quarter, Pahartoli"
76,বেস্ট ফুড বিডি,0,0,$$,"Al-Arafah Bank, Islam Tower, C. D. A Avenue, Below"
77,Gahira Hotel & Restaurant/গহিরা হোটেল এন্ড রেস্টুরেন্ট,0,0,$$,Garduara Road Chittagong Bangladesh
78,Family Cafe,3.8,92,$$,8QPJ+QRP
79,Aynance Foods Corner & Biriyani House,0,0,$$,"4th Floor, Mimi Super Market, Sheikh Farid Chasma Mazar Road Meyor Goli, R/A 2 No Gate, Sholosohor, East Nasirabaad, Panchlaish"
80,The Chittagong Hotel And Restaurant,3.7,28,not specified,"Wireless Moor, Pahartoli College Road, Murgir Farm Gate, Khulshi"
81,Madina Food Corner,0,0,not specified,Sheikh Mujib Rd
82,Al Makam Restora & Biriyani House,0,0,not specified,"1642 Hali Shahar Road, Chomuhoni"
83,Sharnali Restaurant And Biriani House,3.6,63,not specified,Foy's Lake Approach Rd
84,Café Belal Restaurant And Biryani House,4.0,2,not specified,"Green Valley, Sholashahar Rail Station"
85,Ohi Fast Food And Biryani House,0,0,not specified,"Zakir Hossain Road, Foyej Lake, Khulshi"
86,Soho Diner - Agrabad,4.0,1,$$,"Hotel Agrabad, Sabdar Ali Rd"
87,Food Theatre,3.7,45,$,Not Provided
88,আপন রেস্টুরেন্ট,3.8,47,$$,"26, Agrabad Commercial Area"
89,Bulbul Hotel,3.7,11,$$,8QHV+7G6
90,Tayef Restora,4.2,6,$$,"H.No 1655, 2nd And 3rd Floor, S.S Trade Centre, Naya Bazar Circle, P.C Road"
91,নিউ ডায়মন্ড রেস্টুরেন্ট,5.0,1,$$,2656 Sheikh Mujib Rd
92,গ্রীণ চিলি রেস্টুরেন্ট এন্ড মিনি চাইনিজ,4.2,5,not specified,Chittagong Rail Station Platform
93,Kashem Hotel and Restaurant,0,0,not specified,"D.T. Road, Monsurabad, Pahartali"
94,Chill Out restaurant and cafe,3.0,2,not specified,"Shop no 521-522 Level 6 finlay square, সি ডি এ এভেনিউ"
95,Hriddy Food Center,0,0,not specified,"Sheikh Mujib, Agrabad"
96,Sadia's Kitchen,4.2,31,not specified,9R9J+GRH
97,""" Arefeen's Food.""...",2.9,8,not specified,"Equity Centrium 4th Floor,GEC Circle"
98,এস এন যে রেস্তোরাঁ,0,0,not specified,Hashem Bazar Rd
99,Khushi Restaurant,5.0,2,not specified,1 South Kulshi Road
100,Food Receipe,3.3,3,not specified,"House- 6, Road No- 4, Gate No- 7, Block- K, Halishahar Road, Halishahar"
101,Food Garden,1.0,1,not specified,"950/B, Yeakub - Ayub Building, amir Market, Chatungonj, Opposite Haji Amir Ali Chowdhury Road, Amir Ali Market, Kotwali"
102,Ares Food,4.8,5,not specified,"Iqbal Tower, 85/86 Nabab Siraj Ud Daula Rd"
